category,subcategory,subsubcategory,subsubsubcategory,unique_id,url
jardin-et-terrasse,piscine-et-spa,bache-et-hivernage-de-piscine,,cat_id_4059.cat,https://www.castorama.fr/jardin-et-terrasse/piscine-et-spa/bache-et-hivernage-de-piscine/cat_id_4059.cat
jardin-et-terrasse,piscine-et-spa,materiel-de-filtration-de-piscine,,cat_id_4361.cat,https://www.castorama.fr/jardin-et-terrasse/piscine-et-spa/materiel-de-filtration-de-piscine/cat_id_4361.cat
jardin-et-terrasse,piscine-et-spa,equipement-de-secuite-de-piscine,,cat_id_2254.cat,https://www.castorama.fr/jardin-et-terrasse/piscine-et-spa/equipement-de-secuite-de-piscine/cat_id_2254.cat
jardin-et-terrasse,piscine-et-spa,chauffage-de-piscine,,cat_id_4362.cat,https://www.castorama.fr/jardin-et-terrasse/piscine-et-spa/chauffage-de-piscine/cat_id_4362.cat
jardin-et-terrasse,balancoire-trampoline-et-toboggan,mobilier-de-jardin-pour-enfant,,cat_id_457.cat,https://www.castorama.fr/jardin-et-terrasse/balancoire-trampoline-et-toboggan/mobilier-de-jardin-pour-enfant/cat_id_457.cat
jardin-et-terrasse,balancoire-trampoline-et-toboggan,toboggan-et-trebuchet-pour-enfant,,cat_id_1284.cat,https://www.castorama.fr/jardin-et-terrasse/balancoire-trampoline-et-toboggan/toboggan-et-trebuchet-pour-enfant/cat_id_1284.cat
jardin-et-terrasse,balancoire-trampoline-et-toboggan,trampoline,,cat_id_1285.cat,https://www.castorama.fr/jardin-et-terrasse/balancoire-trampoline-et-toboggan/trampoline/cat_id_1285.cat
jardin-et-terrasse,piscine-et-spa,piscine,piscine-tubulaire-bestway,cat_id_0001751.cat,https://www.castorama.fr/jardin-et-terrasse/piscine-et-spa/piscine/piscine-tubulaire-bestway/cat_id_0001751.cat
jardin-et-terrasse,piscine-et-spa,piscine,piscine-tubulaire-intex,cat_id_0001750.cat,https://www.castorama.fr/jardin-et-terrasse/piscine-et-spa/piscine/piscine-tubulaire-intex/cat_id_0001750.cat
jardin-et-terrasse,barbecue-et-plancha,barbecue,barbecue-gaz,cat_id_0001238.cat,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue/barbecue-gaz/cat_id_0001238.cat
jardin-et-terrasse,barbecue-et-plancha,barbecue,barbecue-charbon-de-bois,cat_id_0001237.cat,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue/barbecue-charbon-de-bois/cat_id_0001237.cat
jardin-et-terrasse,barbecue-et-plancha,accessoire-de-barbecue-et-plancha,,cat_id_147.cat,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/accessoire-de-barbecue-et-plancha/cat_id_147.cat
luminaire-et-eclairage,luminaire-et-eclairage-exterieur,balise-exterieure,,cat_id_2720.cat,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/balise-exterieure/cat_id_2720.cat
luminaire-et-eclairage,luminaire-et-eclairage-exterieur,suspension-exterieure,,cat_id_1124.cat,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/suspension-exterieure/cat_id_1124.cat
luminaire-et-eclairage,luminaire-et-eclairage-exterieur,lampadaire-exterieur,,cat_id_1119.cat,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/lampadaire-exterieur/cat_id_1119.cat
jardin-et-terrasse,barbecue-et-plancha,barbecue-fixe-et-four-a-pizza,grilloir,cat_id_1546.cat,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue-fixe-et-four-a-pizza/grilloir/cat_id_1546.cat
jardin-et-terrasse,barbecue-et-plancha,barbecue-fixe-et-four-a-pizza,barbecue-fixe,cat_id_154.cat,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue-fixe-et-four-a-pizza/barbecue-fixe/cat_id_154.cat
jardin-et-terrasse,barbecue-et-plancha,barbecue-fixe-et-four-a-pizza,four-a-pizza,cat_id_0001752.cat,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue-fixe-et-four-a-pizza/four-a-pizza/cat_id_0001752.cat
luminaire-et-eclairage,luminaire-et-eclairage-exterieur,spot-exterieur,,cat_id_3986.cat,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/spot-exterieur/cat_id_3986.cat
luminaire-et-eclairage,luminaire-et-eclairage-exterieur,borne-exterieure-et-potelet,,cat_id_1116.cat,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/borne-exterieure-et-potelet/cat_id_1116.cat
luminaire-et-eclairage,luminaire-et-eclairage-exterieur,projecteur-exterieur-et-detecteur-de-mouvement,,cat_id_444.cat,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/projecteur-exterieur-et-detecteur-de-mouvement/cat_id_444.cat
luminaire-et-eclairage,luminaire-et-eclairage-exterieur,applique-exterieure,,cat_id_1115.cat,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/applique-exterieure/cat_id_1115.cat
peinture,peinture-exterieure,anti-rouille-et-traitement-du-fer,,cat_id_4139.cat,https://www.castorama.fr/peinture/peinture-exterieure/anti-rouille-et-traitement-du-fer/cat_id_4139.cat
peinture,peinture-exterieure,peinture-exterieure-fer,,cat_id_997.cat,https://www.castorama.fr/peinture/peinture-exterieure/peinture-exterieure-fer/cat_id_997.cat
peinture,peinture-exterieure,peinture-sol-exterieur-et-garage,,cat_id_3408.cat,https://www.castorama.fr/peinture/peinture-exterieure/peinture-sol-exterieur-et-garage/cat_id_3408.cat
peinture,peinture-exterieure,peinture-exterieure-multi-supports,,cat_id_4218.cat,https://www.castorama.fr/peinture/peinture-exterieure/peinture-exterieure-multi-supports/cat_id_4218.cat
peinture,peinture-exterieure,lasure-et-traitement-exterieur,huile-et-saturateur,cat_id_771.cat,https://www.castorama.fr/peinture/peinture-exterieure/lasure-et-traitement-exterieur/huile-et-saturateur/cat_id_771.cat
peinture,peinture-exterieure,lasure-et-traitement-exterieur,lasure-exterieure,cat_id_3669.cat,https://www.castorama.fr/peinture/peinture-exterieure/lasure-et-traitement-exterieur/lasure-exterieure/cat_id_3669.cat
