unique_id,category,subcategory,subsubcategory,subsubsubcategory,title,price,url
3142762905647_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,seau-bassine-recipient-de-menage,cat_id_4132.cat,Seau à usage ménager en plastique souple ø30 cm 12L gris bleu,"9,90",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/seau-bassine-recipient-de-menage/cat_id_4132.cat/seau-a-usage-menager-en-plastique-souple-30-cm-12l-gris-bleu/3142762905647_CAFR.prd
3283491560346_CAFR.prd,outillage,compresseur-et-accessoire,accessoire-compresseur,cat_id_0001475.cat,6 colliers à oreilles pour tuyau Ø 6 x 11 mm,"5,90",https://www.castorama.fr/outillage/compresseur-et-accessoire/accessoire-compresseur/cat_id_0001475.cat/6-colliers-a-oreilles-pour-tuyau-6-x-11-mm/3283491560346_CAFR.prd
5604612741990_CAFR.prd,outillage,compresseur-et-accessoire,compresseur,cat_id_0001474.cat,Compresseur d'air Sans Huile Silencieux 100 Litres 8 Bar 4CV 3KW 115 Psi VITO,699,https://www.castorama.fr/outillage/compresseur-et-accessoire/compresseur/cat_id_0001474.cat/mkp/compresseur-d-air-sans-huile-silencieux-100-litres-8-bar-4cv-3kw-115-psi-vito/5604612741990_CAFR.prd
3608500195263_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,cat_id_2879.cat,Clavier Codé Zamak Antivandale Compact,"169,52",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/mkp/clavier-cod-zamak-antivandale-compact/3608500195263_CAFR.prd
3389972830769_CAFR.prd,outillage,materiel-de-chantier,outils-du-macon,auge-et-seau,Auge en plastique Mac Allister 10 L,"2,50",https://www.castorama.fr/outillage/materiel-de-chantier/outils-du-macon/auge-et-seau/cat_id_1667.cat/auge-en-plastique-mac-allister-10-l/3389972830769_CAFR.prd
3157331562312_CAFR.prd,jardin-et-terrasse,outil-entretien-et-materiel-du-jardin,balai-d-exterieur-balai-a-feuille-et-a-gazon,cat_id_3417.cat,Leborgne Balai bouleau polymère - manche bois certifié PEFC 100%,"36,38",https://www.castorama.fr/jardin-et-terrasse/outil-entretien-et-materiel-du-jardin/balai-d-exterieur-balai-a-feuille-et-a-gazon/cat_id_3417.cat/departments/leborgne-balai-bouleau-polym-re-manche-bois-certifi-pefc-100-/3157331562312_CAFR.prd
3300666200606_CAFR.prd,jardin-et-terrasse,tondeuse-et-outil-motorise,huile-piece-de-rechange-et-accessoire-pour-outil-motorise,jerrican-d-essence-graisse-et-lubrifiant,Entonnoir plastique flexible avec filtre ø135 mm > ø380 mm,"10,90",https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/jerrican-d-essence-graisse-et-lubrifiant/cat_id_2678.cat/entonnoir-plastique-flexible-avec-filtre-135-mm-380-mm/3300666200606_CAFR.prd
5905568540416_CAFR.prd,jardin-et-terrasse,outil-entretien-et-materiel-du-jardin,outil-combinable,cat_id_1398.cat,Griffe sarcleuse à 3 dents Fiskars QuikFit™,"22,90",https://www.castorama.fr/jardin-et-terrasse/outil-entretien-et-materiel-du-jardin/outil-combinable/cat_id_1398.cat/griffe-sarcleuse-a-3-dents-fiskars-quikfit-/5905568540416_CAFR.prd
3172350122408_CAFR.prd,droguerie-entretien-de-la-maison,entretien-cuisine-et-salle-de-bains,deboucheur,cat_id_550.cat,Spado déboucheur WC microbilles Spado 1kg,"15,90",https://www.castorama.fr/droguerie-entretien-de-la-maison/entretien-cuisine-et-salle-de-bains/deboucheur/cat_id_550.cat/spado-deboucheur-wc-microbilles-spado-1kg/3172350122408_CAFR.prd
3543534940079_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,balai-brosse,cat_id_2849.cat,Tête lave-sols microfibre avec manche Elephant,"11,50",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/balai-brosse/cat_id_2849.cat/tete-lave-sols-microfibre-avec-manche-elephant/3543534940079_CAFR.prd
