category,subcategory,subsubcategory,subsubsubcategory,title,prix,prod_url
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Panneau acier droit Biohort 200 x h.135 cm gris,469,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/panneau-acier-droit-biohort-200-x-h-135-cm-gris/9003414159761_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Embout de poteau de clôture Belty gris 7016,"3,90",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/embout-de-poteau-de-cloture-belty-gris-7016/3700048818434_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Panneau acier droit Biohort 180 x h.90 cm gris,299,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/panneau-acier-droit-biohort-180-x-h-90-cm-gris/9003414158948_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Poteau de clôture Belty aluminium blanc 9016 h.120cm,"38,90",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/poteau-de-cloture-belty-aluminium-blanc-9016-h-120cm/3700048818502_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Lot de 10 demi-entretoises Belty lame persienne blanc 9016,"9,90",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/lot-de-10-demi-entretoises-belty-lame-persienne-blanc-9016/3700048818496_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Poteau à chevillage pour panneau acier droit Biohort gris h.180 cm,179,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/poteau-a-chevillage-pour-panneau-acier-droit-biohort-gris-h-180-cm/9003414163461_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,"Clôture Jardimat Chalon Gris L.174,2 cm, 4 lames",309,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/cloture-jardimat-chalon-gris-l-174-2-cm-4-lames/3614110066749_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Embout de poteau de clôture Belty blanc 9016,"3,90",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/embout-de-poteau-de-cloture-belty-blanc-9016/3700048818564_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Panneau acier droit Biohort 180 x h.135 cm gris,449,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/panneau-acier-droit-biohort-180-x-h-135-cm-gris/9003414159754_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Panneau acier droit Biohort 150 x h.180 cm gris,499,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/panneau-acier-droit-biohort-150-x-h-180-cm-gris/9003414160392_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Panneau acier droit Biohort 200 x h.135 cm gris + verre acrylique,509,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/panneau-acier-droit-biohort-200-x-h-135-cm-gris-verre-acrylique/9003414159884_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Panneau acier droit Biohort 200 x h.180 cm gris + verre acrylique,669,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/panneau-acier-droit-biohort-200-x-h-180-cm-gris-verre-acrylique/9003414160538_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Panneau acier droit Biohort 180 x h.135 cm gris + verre acrylique,479,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/panneau-acier-droit-biohort-180-x-h-135-cm-gris-verre-acrylique/9003414159877_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Panneau acier droit Biohort 100 x h.180 cm gris,409,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/panneau-acier-droit-biohort-100-x-h-180-cm-gris/9003414160385_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-acier-et-aluminium,Panneau acier droit Biohort 100 x h.90 cm gris + verre acrylique,299,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-acier-et-aluminium/cat_id_0001605.cat/panneau-acier-droit-biohort-100-x-h-90-cm-gris-verre-acrylique/9003414159617_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Kit Clôture SLIM PVC Blanc H. 180 cm x L. 11.10 m - 2 Lisses claire-voie + 7 Soubassements,"1 310,50",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/departments/kit-cl-ture-slim-pvc-blanc-h-180-cm-x-l-11-10-m-2-lisses-claire-voie-7-soubassements/3590328031642_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Kit Clôture PRO PVC Blanc H. 72 cm x L. 11.30 m - 3 Lisses,"657,90",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/departments/kit-cl-ture-pro-pvc-blanc-h-72-cm-x-l-11-30-m-3-lisses/3590328031987_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,"Poteau Complet SLIM 90 cm, L. 10.4 x l. 4.4 x h. 90 cm","34,80",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/departments/poteau-complet-slim-90-cm-l-10-4-x-l-4-4-x-h-90-cm/3590328034230_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Kit Clôture SLIM PVC Blanc H. 180 cm x L. 11.10 m - 8 Soubassements,"1 276,20",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/departments/kit-cl-ture-slim-pvc-blanc-h-180-cm-x-l-11-10-m-8-soubassements/3590328031628_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Kit Clôture PRO PVC Blanc H. 72 cm x L. 11.30 m - 5 Lisses claire-voie,"813,70",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/departments/kit-cl-ture-pro-pvc-blanc-h-72-cm-x-l-11-30-m-5-lisses-claire-voie/3590328031994_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Finition pour soubassement - Clôture PRO & SLIM,"28,80",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/departments/finition-pour-soubassement-cl-ture-pro-slim/3590328036036_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,,,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cathttps://www.needhelp.com/content/castorama/jardinier?utm_source=100&utm_campaign=casto&utm_medium=website&utm_content=jardin
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Kit Clôture SLIM PVC Blanc H. 180 cm x L. 11.10 m - 15 Lisses claire-voie,"1 440,60",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/departments/kit-cl-ture-slim-pvc-blanc-h-180-cm-x-l-11-10-m-15-lisses-claire-voie/3590328031611_CAFR.prd
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,panneau-a-composer-et-cloture-personnalisable,cloture-a-composer-pvc,Poteau d'Angle SLIM 72 cm pour clôture,"32,40",https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/panneau-a-composer-et-cloture-personnalisable/cloture-a-composer-pvc/cat_id_0001603.cat/departments/poteau-d-angle-slim-72-cm-pour-cl-ture/3590328034261_CAFR.prd
